episode,mode,mode_episode,score,reward,epsilon
378,train,378,0,-2,0.977665
379,train,379,61,59,0.977607
380,train,380,0,-2,0.977548
381,train,381,0,-2,0.97749
382,train,382,6,4,0.977431
383,train,383,9,7,0.977373
384,train,384,22,20,0.977314
385,train,385,0,-2,0.977255
386,train,386,2,0,0.977197
387,train,387,53,51,0.977138
388,train,388,0,-2,0.97708
389,train,389,4,2,0.977021
390,train,390,24,22,0.976963
391,train,391,2,0,0.976904
392,train,392,4,2,0.976846
393,train,393,8,6,0.976787
394,train,394,3,1,0.976729
395,train,395,3,1,0.97667
396,train,396,43,41,0.976612
397,train,397,7,5,0.976553
398,train,398,27,25,0.976495
399,train,399,5,3,0.976436
400,train,400,12,10,0.976378
401,train,401,4,2,0.976319
402,train,402,0,-2,0.976261
403,train,403,2,0,0.976202
404,train,404,0,-2,0.976144
405,train,405,0,-2,0.976085
406,train,406,4,2,0.976027
407,train,407,43,41,0.975968
408,train,408,7,5,0.97591
409,train,409,8,6,0.975851
410,train,410,11,9,0.975793
411,train,411,38,36,0.975734
412,train,412,0,-2,0.975676
413,train,413,2,0,0.975617
414,train,414,31,29,0.975559
415,train,415,0,-2,0.9755
416,train,416,4,2,0.975442
417,train,417,3,1,0.975384
418,train,418,40,38,0.975325
419,train,419,8,6,0.975267
420,train,420,7,5,0.975208
421,train,421,0,-2,0.97515
422,train,422,32,30,0.975091
423,train,423,4,2,0.975033
424,train,424,14,12,0.974975
425,train,425,44,42,0.974916
426,train,426,55,53,0.974858
427,train,427,2,0,0.974799
428,train,428,32,30,0.974741
429,train,429,0,-2,0.974683
430,train,430,28,26,0.974624
431,train,431,25,23,0.974566
432,train,432,0,-2,0.974507
433,train,433,14,12,0.974449
434,train,434,4,2,0.974391
435,train,435,14,12,0.974332
436,train,436,16,14,0.974274
437,train,437,35,33,0.974215
438,train,438,5,3,0.974157
439,train,439,24,22,0.974099
440,train,440,4,2,0.97404
441,train,441,25,23,0.973982
442,train,442,5,3,0.973924
443,train,443,2,0,0.973865
444,train,444,8,6,0.973807
445,train,445,61,59,0.973749
446,train,446,4,2,0.97369
447,train,447,35,33,0.973632
448,train,448,3,1,0.973574
449,train,449,0,-2,0.973515
450,train,450,5,3,0.973457
